AÑO;NOMBRE;T.RED;DESCRIPCIÓN;LONG.;IMD;ASV;ACV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2023;BU-551;CP;DE BU-550 A MEDINA DE POMAR (N-629);18.63;990.0;11.0;0.0;0.0;0.0;0.0;0.0;163.3998942802684;0.0;0.0
2023;BU-622;CP;DE POLÍGONO INDUSTRIAL VILLALONQUEJAR (C/LÓPEZ BRAVO) A N-627_x000D_;26.25;776.1542857142856;19.0;5.0;0.0;9.0;0.0;67.23567546455565;322.7312422298671;0.0;0.0
2023;BU-704;CL;DE VILLALÓMEZ (BU-703) A TOSANTOS (N-120);7.8;56.0;1.0;0.0;0.0;0.0;0.0;0.0;627.2266546239149;0.0;0.0
2023;BU-740;CP;DE MIRANDA DE EBRO A LÍMITE DE C.A. DEL PAÍS VASCO;4.0;5182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;BU-805;CP;DE BU-11 A BU-30 (PENETRACIÓN DE CORTES);1.5;2823.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;BU-900;CL;DE LERMA (N-I) A CRUCE CON BU-901;23.76;446.55858585858584;32.0;1.0;0.0;1.0;0.0;25.821546855877045;852.1110462439425;0.0;0.0
2023;LE-411;CL;DE VILLAMAÑÁN (CL-621) A SALUDES DE CASTROPONCE;24.1;609.0;20.0;2.0;0.0;2.0;0.0;37.33385152719253;410.67236679911787;0.0;0.0
2023;LE-482;CL;DE SAN EMILIANO A PINOS;2.3;220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;P-223;CL;DE PUEBLA DE VALDAVIA A P-222;29.05;212.67697074010326;6.0;1.0;0.0;2.0;0.0;44.34457867947512;310.4120507563258;0.0;0.0
2023;P-227;CP;DE CRUCE CON CL-626 A HERRERA DE PISUERGA;34.954;698.5456600102992;26.0;0.0;0.0;0.0;0.0;0.0;291.7351796684345;0.0;0.0
