Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G
RUBLACEDO DE ABAJO,327,BURGOS,9,33,-3.50256,42.55491,458742.7,4711512.63,"42.55491, -3.50256",0,0,0,0.14,0.4078167115902965,0.0012,1,0.0001595300416,0.7844
SALAS DE LOS INFANTES,330,BURGOS,9,1984,-3.282137,42.022314,476642.25,4652292.18,"42.022314, -3.282137",0,0,0,0.19,40.30781671159031,0.123,1,0.01722252793,0.9961
SAN MILLÁN DE LARA,340,BURGOS,9,61,-3.344955,42.135626,471492.39,4664892.4,"42.135626, -3.344955",0,0,0,0.16,0.4078167115902965,0.0012,1,0.0004507991845,1.0
SAN VICENTE DEL VALLE,360,BURGOS,9,28,-3.161841,42.336869,486667.66,4687192.22,"42.336869, -3.161841",0,0,0,0.18,0.4078167115902965,0.0012,1,0.0005296032853,1.0
SANTA INÉS,348,BURGOS,9,155,-3.702984,42.040327,441817.17,4654492.75,"42.040327, -3.702984",0,0,0,0.15,0.4078167115902965,0.0012,1,0.002801126966,0.9831
SARGENTES DE LA LORA,361,BURGOS,9,133,-3.874035,42.769086,428492.43,4735543.12,"42.769086, -3.874035",0,0,0,0.19,0.4078167115902965,0.0012,1,0.000343792254,0.6569
SASAMÓN,363,BURGOS,9,912,-4.044174,42.418242,414092.16,4696742.94,"42.418242, -4.044174",0,0,0,0.14,2.4578167115902976,0.0074,1,0.002205138292,0.9988
SORDILLOS,368,BURGOS,9,22,-4.107552,42.462676,408942.15,4701742.85,"42.462676, -4.107552",0,0,0,0.16,0.4078167115902965,0.0012,1,0.0005301739453,1.0
SOTILLO DE LA RIBERA,369,BURGOS,9,470,-3.824946,41.776969,431441.62,4625342.62,"41.776969, -3.824946",0,0,0,0.23,0.4078167115902965,0.0012,1,0.003036116362,1.0
SOTRAGERO,372,BURGOS,9,301,-3.713469,42.409518,441292.41,4695492.71,"42.409518, -3.713469",0,0,0,0.09,0.4078167115902965,0.0012,1,0.01475257973,1.0
SUSINOS DEL PÁRAMO,374,BURGOS,9,118,-3.926748,42.471035,423817.29,4702492.86,"42.471035, -3.926748",0,0,0,0.13,0.4078167115902965,0.0012,1,0.00274292666,1.0
TAMARÓN,375,BURGOS,9,55,-3.990838,42.272819,418292.18,4680543.01,"42.272819, -3.990838",0,0,0,0.13,0.4078167115902965,0.0012,1,0.0009714213534,0.6015
TOBAR,382,BURGOS,9,27,-3.93941,42.48399,422792.29,4703942.87,"42.48399, -3.93941",0,0,0,0.13,0.4078167115902965,0.0012,1,0.0005104285059,0.7636000000000001
TORRECILLA DEL MONTE,386,BURGOS,9,79,-3.694219,42.09532,442592.2,4660592.77,"42.09532, -3.694219",0,0,0,0.14,0.4078167115902965,0.0012,1,0.001445487528,1.0
TORREGALINDO,387,BURGOS,9,123,-3.753342,41.582486,437203.58,4603695.76,"41.582486, -3.753342",0,0,0,0.28,0.4078167115902965,0.0012,1,0.002029365365,1.0
TORRESANDINO,390,BURGOS,9,574,-3.909639,41.829444,424464.71,4631239.74,"41.829444, -3.909639",0,0,0,0.22,0.4078167115902965,0.0012,1,0.00163426053,1.0
