Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G,DENSIDADMM_Norm,Accidentes_Por_Carretera_Norm,Dificultad_Acceso_Norm,4G_Norm,tiene_centro_Norm,Transplantes_Norm,Score_Prioridad,Municipio_Norm,Es_Bierzo,Region_Logica,Distancia_Hospital_Min,Hospital_Cercano_OK
VALLE DE MENA,410,BURGOS,9,4140,-3.280765,43.099086,477152.08,4771856.51,"43.099086, -3.280765",0,0,0,0.93,0.4078167115902965,0.0012,0,0.004220943069,0.997,0.004220943069,0.0012,0.9247311827956991,0.997,0.0,0.0,0.4987175500625006,VALLE DE MENA,0,BURGOS,53.68267162465633,True
PUENTE DE DOMINGO FLÓREZ,122,LEÓN,24,1385,-6.818355,42.410721,185793.28,4702446.52,"42.410721, -6.818355",0,0,0,0.96,0.4156398104265405,0.0012,0,0.006464773016,1.0,0.006464773016,0.0012,0.9569892473118279,1.0,0.0,0.0,0.512775092296486,PUENTE DE DOMINGO FLÓREZ,1,EL BIERZO,23.67636249992476,True
SAN EMILIANO,145,LEÓN,24,596,-6.001644,42.972437,255223.53,4762126.65,"42.972437, -6.001644",0,0,0,0.84,1.21563981042654,0.0036,0,0.0007196606325,0.8786,0.0007196606325,0.0036,0.8279569892473119,0.8786,0.0,0.0,0.46309945447121914,SAN EMILIANO,0,LEÓN (RESTO),25.918714094920517,True
LA PERNÍA,904,PALENCIA,34,313,-4.495585,42.966674,378030.46,4758199.17,"42.966674, -4.495585",0,0,0,0.97,0.1591623036649214,0.0004,0,0.0004647016791,0.8498000000000001,0.0004647016791,0.0004,0.9677419354838709,0.8498000000000001,0.0,0.0,0.5238087375099295,LA PERNÍA,0,PALENCIA,95.00849074442765,True
EL PAYO,234,SALAMANCA,37,313,-6.726841,40.286541,183174.67,4466229.1,"40.286541, -6.726841",0,0,0,0.99,0.0660220994475138,0.0001,0,0.001379488118,0.9996,0.001379488118,0.0001,0.989247311827957,0.9996,0.0,0.0,0.5256282673037215,EL PAYO,0,SALAMANCA,117.28309438937629,True
CUÉLLAR,63,SEGOVIA,40,9530,-4.317391,41.403698,389882.94,4584410.23,"41.403698, -4.317391",0,0,0,0.21,127.88620414673042,0.3904,1,0.00959616358,1.0,0.00959616358,0.3904,0.15053763440860216,1.0,1.0,0.0,0.1637706073326989,CUÉLLAR,0,SEGOVIA,43.66144095029578,True
ÁGREDA,4,SORIA,42,3094,-1.919656,41.85517,589674.7,4634260.22,"41.85517, -1.919656",0,0,0,0.75,87.96448087431696,0.2685,1,0.00503170594,0.9998,0.00503170594,0.2685,0.7311827956989247,0.9998,1.0,0.0,0.3822983580415376,ÁGREDA,0,SORIA,46.44012778827104,True
SAN ROMÁN DE HORNIJA,150,VALLADOLID,47,301,-5.2844,41.480299,309273.61,4594596.21,"41.480299, -5.2844",0,0,0,0.2,0.0284444444444444,0.0,0,0.001837601178,1.0,0.001837601178,0.0,0.13978494623655915,1.0,0.0,0.0,0.16038316705842043,SAN ROMÁN DE HORNIJA,0,VALLADOLID,36.295949551682355,True
ROBLEDA-CERVANTES,179,ZAMORA,49,400,-6.593745,42.083598,202744.37,4665310.38,"42.083598, -6.593745",0,0,0,0.87,0.1185483870967741,0.0003,0,0.003448053994,1.0,0.003448053994,0.0003,0.860215053763441,1.0,0.0,0.0,0.47048468121737963,ROBLEDA-CERVANTES,0,ZAMORA,51.60450297223655,True
EL BARCO DE ÁVILA,21,ÁVILA,5,2297,-5.527042,40.355763,285404.7,4470310.12,"40.355763, -5.527042",0,0,0,0.89,23.9255376344086,0.073,0,0.04925090101,1.0,0.04925090101,0.073,0.881720430107527,1.0,0.0,0.0,0.5047774200977366,EL BARCO DE ÁVILA,0,ÁVILA,69.00115578598151,True
